iddesa,Kode Provinsi,Kode Kabupaten,Kode Kecamatan,Kode Desa,Provinsi,Kabupaten,Kecamatan,Desa,Pelayanan_Dasar,Infrastruktur,Aksesbilitas,IKG2020
1302021001,13,2,21,1,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Kubu Tapan,30.31,66.91,0.00,29.24
1302021002,13,2,21,2,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Talang Koto Pulai Tapan,49.37,64.16,0.00,37.58
1302021003,13,2,21,3,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Binjai Tapan,49.37,53.43,17.01,40.38
1302021004,13,2,21,4,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Sungai Gambir Sako Tapan,71.10,46.72,0.00,43.88
1302021005,13,2,21,5,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Simpang Gunung Tapan,45.03,64.16,0.00,35.54
1302021006,13,2,21,6,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Kampung Tengah Tapan,30.87,53.52,17.01,31.70
1302021007,13,2,21,7,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Sungai Pinang Tapan,50.71,64.16,0.00,38.21
1302021008,13,2,21,8,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Tebing Tinggi Tapan,32.96,50.77,0.00,26.87
1302021009,13,2,21,9,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Talang Balarik Tapan,30.39,55.54,0.00,26.73
1302021010,13,2,21,10,Sumatera Barat,Pesisir Selatan,Ranah Ampek Hulu Tapan,Limau Purut Tapan,47.33,50.77,0.00,33.62
1302030001,13,2,30,1,Sumatera Barat,Pesisir Selatan,Pancung Soal,Inderapura,45.97,49.01,21.24,39.08
1302030002,13,2,30,2,Sumatera Barat,Pesisir Selatan,Pancung Soal,Muaro Sakai Inderapura,52.17,44.10,21.24,40.90
1302030003,13,2,30,3,Sumatera Barat,Pesisir Selatan,Pancung Soal,Inderapura Barat,43.87,55.54,21.24,39.56
1302030004,13,2,30,4,Sumatera Barat,Pesisir Selatan,Pancung Soal,Tigo Sepakat Inderapura,47.26,54.82,21.24,40.99
1302030005,13,2,30,5,Sumatera Barat,Pesisir Selatan,Pancung Soal,Inderapura Selatan,27.01,47.52,4.23,24.64
1302030006,13,2,30,6,Sumatera Barat,Pesisir Selatan,Pancung Soal,Kudo-kudo Inderapura,27.08,14.92,4.23,17.36
1302030009,13,2,30,9,Sumatera Barat,Pesisir Selatan,Pancung Soal,Simpang Lama Inderapura,24.48,60.22,21.24,31.50
1302030010,13,2,30,10,Sumatera Barat,Pesisir Selatan,Pancung Soal,Tluk Amplu Indrapura,34.32,58.20,21.24,35.67
1302030012,13,2,30,12,Sumatera Barat,Pesisir Selatan,Pancung Soal,Inderapura Tengah,30.97,68.21,21.24,36.34
1302030014,13,2,30,14,Sumatera Barat,Pesisir Selatan,Pancung Soal,Tigo Sungai Inderapura,42.46,44.60,21.24,36.45
1302031001,13,2,31,1,Sumatera Barat,Pesisir Selatan,Airpura,Inderapura Timur,41.75,54.82,21.24,38.41
1302031002,13,2,31,2,Sumatera Barat,Pesisir Selatan,Airpura,Inderapura Utara,25.14,62.86,22.99,32.94
1302031003,13,2,31,3,Sumatera Barat,Pesisir Selatan,Airpura,Pulau Rajo Inderapura,32.86,56.85,22.99,35.22
1302031004,13,2,31,4,Sumatera Barat,Pesisir Selatan,Airpura,Tluk Kualo Inderapura,51.03,60.90,22.99,44.66
1302031005,13,2,31,5,Sumatera Barat,Pesisir Selatan,Airpura,Palokan Inderapura,52.90,46.72,22.99,42.36
1302031006,13,2,31,6,Sumatera Barat,Pesisir Selatan,Airpura,Tanah Bakali Inderapura,30.08,64.88,22.99,35.71
1302031007,13,2,31,7,Sumatera Barat,Pesisir Selatan,Airpura,Lubuk Betung Inderapura,46.47,64.94,22.99,43.43
1302031008,13,2,31,8,Sumatera Barat,Pesisir Selatan,Airpura,Damar Lapan Batang Inderapura,43.10,55.54,21.24,39.20
